A&S,Acquisition and Sustainment
AAD,Advanced Academic Degree
ABU,Airman Battle Uniform
ACA,Airman Comprehensive Assessment
ACAT,Acquisitions Category
ACL,Access Control List
ACMS,Acquisition Career Management System
ACO,Administrating Contracting Officer
ACRN,accounting classification  number
ACS,Air Control Squadron
ACSC,Air Command And Staff College
ADM,Acquisitio Decision Memorandum
ADO,Asst. Director of Operations
ADSC,Active Duty Service Committment
AECA,Arms Export Control Act
AEF,Air & Space Expeditionary Force
AEF,Air Expeditionary Force
AES,Advanced Encryption Standard
AETCI,Air Education and Training Command Instruction
AF,Air Force
AFB,Air Force Base
AFCEC,Air Force Civil Engineer Center
AFEX,Air Force Employment Exercise
AFFARS,Air Force FAR Supplement
AFFMS,Air Force Fitness Management System
AFI,Air Force Instruction
AFIT,Air Force Institute of Technology
AFNET,Air Force Network
AFOSI,Air Force Office of Special Investigations
AFOSR,Air Force Office of Scientific Research
AFOTEC,Air Force Operational Test & Evaluation Center
AFPAAS,Air Force Personnel Accountability Assessment System
AFPC,Air Force Personnel Command
AFR,Air Force Reserve
AFRL,Air Force Research Laboratory
AFSAC,Air Force Security Assistance and Cooperation
AFSOC,Air Force Special Operations Command
AFTC,Air Force Test Center
AGR,Active Guard and Reserve
AIG,Address Indicator Group
AIN,Advanced Intelligence Network
AKD,Automatic Key Distribution
ALC,Air Logistics Complex~Assignment Limitation Codes
ALO,Accounting Liaison Office,Air Liaison Officer
AOP,Art of the Possible
AP,Acquisitions Plan
APB,Acquisition Program Baseline
APC,Academic Profile Code,Armored Personnel Carrier
APDP,Acquisition Professional Development Program
APZ,Above Primary Zone
APZ,Above The Primary Zone
ASP,Acquisitions Strategy Panel
AT,Acceptance Testing
AU,Air University
AWC,Air War College
AoA,Analysis of Alternatives
BA,Budget Authority
BAC,Budget at Completion
BCA,Business Case Analysis
BCAC,Business Capability Acquisition Lifecycle
BCR,Budget Change Request
BCWP,Budget Cost Work Plan
BCWS,Budget Cost Work Schedule
BDE,Basic Developmental Education
BES,Budget Estimate Submission
BPA,Blanket Purchase Agreement
BPAC,Budget Program Activity Code
BPR,Business Process Re-Engineering
BPZ,Below Primary Zone
BPZ,Below The Primary Zone
BRS,Blended Retirement System
C4ISR,Command Control Communication Computers Intelligence Surveillance and Reconaissance
CA,Certificate Authority
CAC,Common Access Card
CAE,Component Acquisition Executive
CAO,Contracting Administration Office
CAP,contractor acquired property
CAPE,Cost Assessment and Program Evaluation
CARD,Cost Analysis Requirements Description
CBA,Capabilities-Based Assessment
CBO,Congressional Budget Office
CC,Commander
CCAF,Community College Of The Air Force
CCAL,Certified Contractor Access List
CCB,Configuration Control Board
CCI,Controlled Cryptographic Item
CCJO,Capstone Concept for Joint Operations
CCPO,Cloud Computing Program Office
CCaR,Comprehensive Cost And Requirement System
CD,Course Director
CDB,Career Data Brief
CDD,Capability Development Document
CDO,Controlling DoD Office
CDRL,Contract Date Requirement List
CEOI,Communications Electronics Operating Instruction
CEPR,Compromising Emanation Performance Requirement
CES,Civil Engineering Squadron
CGO,Company Grade Officer (0-1 to 0-3)
CI,Counter Intelligence
CICA,Competition In Contracting Act
CIK,Crypto-ignition Key
CIL,Critical Information List
CITE,Center For Industrial And Technical Excellence
CJCS,Chairman Of The Joint Chiefs Of Staff
CJOC,Combined Joint Operations Center
CLIN,Contract Line Item Number
CMI,Classified Military Information
CMMI,Capability Maturity Model Integration
CNR,Chief Of Naval Research
CO,Contracting Officer
COFD,Contracting Officer Final Decision
COI,Critical Operational Issues
COL,Continuum of Learning
COLA,Cost Of Living Adjustment
COMMERCIAL VIRTUAL REMOTE,
COMSEC,Communications Security
COOP,Continuity of Operation Plan
COR,Chief of Office Record
COR,Contract Officer Representative
COT,Commissioned Officer Training
COTS,Commercial Off-the-Shelf
CPAW,Cost Plus Award Fee
CPFF,Cost Plus Fixed Fee
CPI,Cost Performance Index
CPIF,Cost Plus Incentive Fee
CPRS,Comptroller Squadron
CQ,Charge of Quarters
CRB,Configuration Review Board
CRIS,Commanders Resource Integration System
CSP,Coalition Support Program
CSS,Commander's Support Staff
CTI,Controlled Technical Information
CTP,Critical Technical Parameters
CUI,Controlled Unclassified Information
CUMI,Controlled Unclassified Military Information
CV,Cost Variance
CoCOM,Unified Combatant Command
DAB,Defense Acquisition Board
DAE,Defense Acquisition Executive
DAG,Defense Acquisition Guidebook
DAMIR,Defense Acquisition Management Information Retrieval
DARPA,Defense Advanced Research Projects Agency
DAS,Defense Acquisition System,Date Arrived on Station
DAU,Defense Acquisition University
DAWIA,Defense Acquisition Workforce Improvement Act
DBRAG,Defense Basic Research Advisory Group
DBS,Defense Business System
DCAA,Defense Contract Audit Agency
DCAPE,Director Of Cost Assessment And Program Evaluation
DCID,Director Central Intelligence Directive
DCMA,Defense Contract Management Agency
DCO,Direct Commission Officer
DCS,Defense Collaboration Services
DDL,Delegation of Disclosure Letter
DEERS,Defense Enrollment Eligibility Reporting System
DEROS,Date Eligible To Return From Overseas
DFAC,Dining Facility
DFARS,DoD Federal Acquisition Regulation Supplement
DFAS,Defense Finance and Accounting Service
DISA,Defense Information Systems Agency
DLA,Defense Logistics Agency
DLAB,Defense Language Aptitude Battery
DLE,Defense Laboratory Enterprise
DMDC,Defense Manpower Data Center
DMSMS,Diminishing Manufacturing Sources/material Shortages
DNC,Drill and Ceremonies
DO,Director of Operations
DO,Lab Demo Payscale - Business Management Professional
DODI,Department of Defense Instruction
DODISS,Defense Index Of Specifications And The Standards
DOR,Date Of Rank
DP,Developmental Planning~Dining Priority (OTS)
DPG,Defense Planning Guidance
DPG,Dugway Proving Grounds
DR,Lab Demo Payscale - Scientists and Engineers
DRFP,Development Request for Proposal
DRU,Direct Reporting Unit
DSCA,Defense Security Cooperation Agency
DSOR,Depot Source Of Repair
DSS,Defense Security Service
